Category,Item,Serving Size,Calories,Calories from fat,TotalFat,Saturated Fat(g),Trans fat(g),Cholesterol,Sodium,Carbohydrates,Dietary Fiber,Total Sugar(g),Protein(g)
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Coffee & Tea,Seattle's Best Coffee® - Decaf-,16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Seattle's Best Coffee®- Decaf- ,20 fl oz,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Seattle's Best Coffee®- Regular- ,16 fl oz,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,Seattle's Best Coffee®- Regular-,20 fl oz,0,0,0,0,0,0,0,0,0,0,0
Coffee & Tea,,,,,,,,,,,,,
Coffee & Tea,Iced Coffee - Medium,,150,70,8,5,0,30,45,19,0,19,1
Coffee & Tea,Iced Coffee - Medium-VANILLA,,190,70,8,5,0,30,45,28,0,28,1
Coffee & Tea,Iced Coffee - Medium MOCHA,,170,80,8,5,0,30,110,23,1,21,2
Coffee & Tea,,,,,,,,,,,,,
Coffee & Tea,Mocha Frappe: 16 fl oz,,400,140,16,7,0,10,250,60,0,40,3
Coffee & Tea,Caramel Frappe: 16 fl oz,,410,140,16,7,0,10,270,63,0,42,3
,,,,,,,,,,,,,
,,,,,,,,,,,,,
KING DEALS VALUE MENU,Bacon Double Cheeseburger,139,370,180,20,9,1.5,75,660,27,1,7,21
KING DEALS VALUE MENU,Double Cheeseburger,135,360,160,18,8,1.5,70,580,27,1,7,20
KING DEALS VALUE MENU,Bacon Cheeseburger Deluxe,139,290,120,13,6,0.5,45,640,28,1,7,14
KING DEALS VALUE MENU,Bacon Cheeseburger,108,280,120,13,6,0.5,45,630,27,1,7,14
KING DEALS VALUE MENU,Chicken Nuggets - 4pc,58,170,100,11,1.5,0,25,310,11,1,0,8
KING DEALS VALUE MENU,Crispy Chicken Jr.,142,450,270,30,5,0,30,780,34,2,5,12
KING DEALS VALUE MENU,Spicy Crispy Chicken Jr.,142,390,190,21,3.5,0,30,740,37,2,6,12
KING DEALS VALUE MENU,Rodeo Crispy Chicken Sandwich,154,410,150,17,3,0,20,870,53,2,14,12
KING DEALS VALUE MENU,Rodeo Burger,111,310,110,12,4,0.5,30,440,38,1,9,12
,,,,,,,,,,,,,
,,,,,,,,,,,,,
